"","continent","country","(Intercept)","I(year - 1950)","sd"
"76","Americas","Uruguay",65.3750585081585,0.183272027972027,0.533679901201453
"77","Americas","Venezuela",56.8538771561772,0.329721678321678,1.48180233960527
"78","Asia","Afghanistan",29.3566375291376,0.275328671328671,1.22278798153463
"79","Asia","Bahrain",51.8141897435898,0.467507692307692,1.63958653950098
"80","Asia","Bangladesh",35.1392256410256,0.498130769230769,0.976690830409054
"81","Asia","Cambodia",36.2236174825175,0.395902797202797,5.63014318176748
"82","Asia","China",46.1290518321679,0.530714853146853,3.85699041346615
"83","Asia","Hong Kong, China",62.6966997668998,0.365970629370629,1.16790969611312
"84","Asia","India",38.2591144522145,0.505320979020979,1.72489334723165
"85","Asia","Indonesia",35.6138328671329,0.634641258741258,0.645547842095045
